ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,name,addl,notice,peer,source
1762174211.524930,Cel9wj3m0xqVmHW1yj,192.168.7.101,54472,2.19.205.58,443,window_recision,-,F,zeek,-
1762174211.574091,CE9XfF3xFGS3NxD4Uf,192.168.7.101,57213,184.51.252.45,443,window_recision,-,F,zeek,-
1762174620.090121,CWnfFU1owbcjYSrIl,192.168.7.101,64243,173.194.0.198,443,truncated_tcp_payload,-,F,zeek,TCP
1762174954.998436,CFIJQT25ozSqpfqxG5,192.168.7.101,59021,173.194.0.198,443,truncated_tcp_payload,-,F,zeek,TCP
1762174967.323729,Co5D4c1GagUSxOZKU5,192.168.7.101,51532,185.104.210.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762174967.895401,CDrGUk4i4by5mi7qR9,192.168.7.101,57542,185.104.210.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762175010.357941,C4JKDVnkdbHST7e21,192.168.7.101,51888,173.194.190.167,443,truncated_tcp_payload,-,F,zeek,TCP
1762175133.350770,C8CMeVY3Cqr0t4op,192.168.7.101,58053,2.19.204.16,443,window_recision,-,F,zeek,-
1762175135.529178,C1OSZWmFQjqSjxcV1,192.168.7.101,63024,52.182.143.211,443,truncated_tcp_payload,-,F,zeek,TCP
1762175156.152979,Ctqhjs40KzhYnqrIE3,192.168.7.101,49883,173.194.190.168,443,truncated_tcp_payload,-,F,zeek,TCP
1762175166.199805,COUQGk30yxSqV9cLYc,192.168.7.101,51882,173.194.0.230,443,truncated_tcp_payload,-,F,zeek,TCP
1762175330.628630,CWWHXY3cQMLpyRQ5O9,192.168.7.101,58616,13.89.179.9,443,truncated_tcp_payload,-,F,zeek,TCP
1762175384.463610,CyuZqj2j8Mhi56utf5,192.168.7.101,64980,2.16.103.90,443,window_recision,-,F,zeek,-
1762175384.473628,ClNzj51LkTw4ywfqy,192.168.7.101,58919,2.16.103.90,443,window_recision,-,F,zeek,-
1762175503.553431,CJJOQJhdNNuMJfjyd,192.168.7.101,57015,40.114.177.156,443,window_recision,-,F,zeek,-
1762175607.736450,CxQ18r4KaowEyvE1L2,192.168.7.101,61710,40.114.177.156,443,truncated_tcp_payload,-,F,zeek,TCP
1762175674.212952,C6Y978jQIhgBNiB4a,192.168.7.101,60468,40.114.177.156,443,truncated_tcp_payload,-,F,zeek,TCP
1762175779.259047,CBjGmq3XY1LGO35nd,fd50:75fd:c988:0:50be:4ba3:982:3b13,50260,fd50:75fd:c988::1,53,premature_connection_reuse,-,F,zeek,TCP
1762175790.100258,C7qtXr27ffiZDHaoT3,192.168.7.101,56738,40.114.177.156,443,truncated_tcp_payload,-,F,zeek,TCP
1762175932.360048,Cj0OjzaaXNowXJwYf,192.168.7.101,50293,40.114.177.156,443,truncated_tcp_payload,-,F,zeek,TCP
1762175979.383514,CEnJF835nWzAqlvy1i,192.168.7.101,65163,23.216.134.145,443,window_recision,-,F,zeek,-
1762176077.422334,CxcTwz1Wuvcf96Z5b,192.168.7.101,50961,40.114.177.156,443,truncated_tcp_payload,-,F,zeek,TCP
1762176088.245266,CMETcx2e2M5sW2NBGb,192.168.7.101,56339,65.9.86.25,443,truncated_tcp_payload,-,F,zeek,TCP
1762176198.246352,CaLIVd4keKWylZFdIi,192.168.7.101,49411,40.114.177.156,443,truncated_tcp_payload,-,F,zeek,TCP
1762176528.877236,CN5tpt3HjKs9Bra2pd,192.168.7.101,62536,40.114.177.156,443,truncated_tcp_payload,-,F,zeek,TCP
